Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Tubarão (SC);28;54;...;-;-;-;96;32;-;3;-;88;500;456;...;...;-;-;...;...;-;54;90;5;...;800;-;-;-;-;...;...;...;-;956;-;1137;...;...;...;-;218;-;-;-;-;-;-;399;-;...;-;16;-;640;-;...;-;-;-;-;-;-;75;-;779;-;...;-;...;28
Tunápolis (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Turvo (SC);-;-;...;-;-;-;-;69;11159;-;-;1036;1200;239;...;...;-;-;...;...;-;105;60;-;...;-;-;-;-;-;...;...;...;-;1905;-;11910;...;...;...;-;87;-;-;-;-;-;-;1870;-;...;-;55;-;5068;-;...;-;-;-;-;-;-;-;-;-;167;...;-;...;130
União do Oeste (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Urubici (SC);-;-;...;-;-;-;-;-;27;-;-;-;307;2614;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;1440;-;1221;...;...;...;-;-;-;-;120;-;-;-;1015;-;...;-;-;-;2762;-;...;16;900;-;-;-;34;-;-;1920;410;...;-;...;211
Urupema (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Urussanga (SC);-;-;...;-;-;-;-;37;203;-;-;939;96;891;...;...;-;26;...;...;-;50;163;-;...;30;-;-;-;-;...;...;...;-;296;-;4785;...;...;...;-;52;-;-;-;-;-;-;307;-;...;-;-;-;679;-;...;-;-;-;-;-;3;11;-;49;8;...;-;...;256
Vargeão (SC);-;-;...;-;-;-;-;-;1518;-;-;-;24;143;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;108;-;-;...;...;...;-;-;-;-;-;-;-;-;316;-;...;-;45;-;5670;-;...;-;-;-;-;-;1155;-;-;181;403;...;-;...;37
Vargem (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Vargem Bonita (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Vidal Ramos (SC);-;-;...;-;-;-;-;9;560;-;-;-;800;6446;...;...;-;-;...;...;-;-;-;-;...;144;-;-;-;-;...;...;...;-;1572;-;10035;...;...;...;-;491;-;-;-;-;-;-;726;-;...;-;6;-;2940;-;...;108;-;-;-;-;83;-;241;-;-;...;-;...;204
Videira (SC);-;-;...;160;-;-;48;67;719;15;-;-;720;840;...;...;-;-;...;...;-;-;-;8;...;78;115;210;-;-;...;...;...;-;612;7;19;...;...;...;-;120;2;-;120;-;-;-;888;-;...;0;42;10;20073;38;...;8;86;-;-;-;2039;-;9;94;806;...;-;...;7353
Vitor Meireles (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Witmarsum (SC);-;-;...;-;-;-;45;8;257;-;-;4;100;142;...;...;-;-;...;...;-;72;12;-;...;16;-;-;-;-;...;...;...;-;119;-;604;...;...;...;-;109;-;-;-;-;-;-;660;-;...;-;12;-;859;-;...;20;-;-;-;-;66;-;12;60;-;...;-;...;10
Xanxerê (SC);-;-;...;-;-;-;-;-;1365;-;-;-;360;664;...;...;-;-;...;...;-;-;-;-;...;45;-;-;-;-;...;...;...;-;1108;-;168;...;...;...;-;19;-;-;-;-;-;-;1345;-;...;-;150;-;34668;-;...;-;-;-;-;-;10241;-;-;-;2100;...;-;...;216
Xavantina (SC);-;-;...;-;-;-;-;-;390;-;-;-;4500;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;495;-;-;...;...;...;-;126;-;-;-;-;-;-;1410;-;...;-;-;-;16830;-;...;-;-;-;-;-;1350;-;-;-;1008;...;-;...;360
Xaxim (SC);-;-;...;-;-;-;-;-;202;-;-;-;501;-;...;...;-;-;...;...;-;60;-;-;...;75;-;-;-;-;...;...;...;-;3229;-;40;...;...;...;-;103;-;-;-;-;-;-;1518;-;...;-;-;-;36037;-;...;-;-;-;-;-;10164;-;-;-;2730;...;-;...;279
Zortéa (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Balneário Rincão (SC);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Aceguá (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Água Santa (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Agudo (RS);-;-;...;20;-;-;-;11;15719;-;-;10;125;960;...;...;-;-;...;...;-;35;15;-;...;9;-;-;-;-;...;...;...;-;734;-;3600;...;...;...;-;120;17;-;-;-;-;-;3343;-;...;-;22;69;2208;-;...;12;105;-;-;-;4009;21;42;57;504;...;-;...;64
Ajuricaba (RS);25;-;...;62;-;-;54;58;165;13;-;13;400;223;...;...;-;-;...;...;-;117;-;18;...;18;-;8;-;-;...;...;...;-;570;14;-;...;...;...;-;683;24;63;8;-;-;-;1194;-;...;6;11;2;1879;-;...;16;29;-;-;-;33264;92;70;-;25200;...;-;...;480
Alecrim (RS);24;120;...;87;-;-;66;48;50;18;-;66;2000;1474;...;...;-;-;...;...;-;252;114;10;...;252;5;5;-;-;...;...;...;3;2162;16;469;...;...;...;-;191;128;12;19;-;-;-;6368;-;...;-;192;72;12430;-;...;33;38;-;-;-;20250;-;270;22;630;...;79;...;67
Alegrete (RS);-;-;...;-;-;-;-;-;58080;-;-;-;832;60;...;...;-;-;...;...;-;-;-;-;...;68;-;-;-;-;...;...;...;-;-;9;-;...;...;...;-;1392;13;-;-;-;-;-;597;-;...;-;726;70;2304;-;...;35;120;-;-;-;10800;6912;174;-;19290;...;-;...;-
Alegria (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Almirante Tamandaré do Sul (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Alpestre (RS);36;75;...;284;-;-;-;46;56;-;-;117;350;343;...;...;-;-;...;...;-;214;-;-;...;-;-;-;-;-;...;...;...;-;15544;-;495;...;...;...;-;356;7;-;-;-;-;-;720;-;...;-;12;-;10098;-;...;4;15;-;-;-;4009;-;1050;-;706;...;-;...;120
Alto Alegre (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Alto Feliz (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Alvorada (RS);1;-;...;-;-;-;-;-;34;-;-;-;42;-;...;...;-;-;...;...;-;21;-;1;...;-;-;-;-;-;...;...;...;-;8;-;-;...;...;...;-;33;5;-;-;-;-;-;318;-;...;-;144;57;37;-;...;4;-;-;-;-;-;-;8;96;-;...;-;...;-
Amaral Ferrador (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Ametista do Sul (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
André da Rocha (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Anta Gorda (RS);5;-;...;192;-;-;27;72;49;15;17;22;230;117;...;...;-;-;...;...;-;100;4;23;...;49;2;20;-;-;...;...;...;1;565;7;1824;...;...;...;-;89;8;-;7;-;3;-;224;-;...;14;18;12;7239;120;...;22;26;-;-;-;2534;-;10;99;812;...;97;...;682
Antônio Prado (RS);-;-;...;-;-;-;144;52;38;70;7;-;1120;952;...;...;-;-;...;...;-;-;-;90;...;800;7;-;-;-;...;...;...;-;612;510;-;...;...;...;-;561;49;-;43;-;-;-;214;-;...;112;78;36;4200;24;...;39;124;-;-;-;2227;-;319;640;2520;...;60;...;8892
Arambaré (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Araricá (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Aratiba (RS);39;55;...;156;-;-;75;35;201;104;-;258;786;641;...;...;-;-;...;...;-;502;81;11;...;93;-;21;-;-;...;...;...;-;2250;38;142;...;...;...;-;461;12;-;40;-;90;-;3575;-;...;39;270;58;9246;38;...;22;107;-;-;-;4781;-;256;-;1204;...;-;...;767
Arroio do Meio (RS);-;-;...;415;-;-;-;48;136;-;-;-;630;2527;...;...;-;-;...;...;-;126;70;-;...;42;-;-;-;-;...;...;...;-;3223;-;156;...;...;...;-;663;-;-;-;-;-;-;1596;-;...;-;30;20;6435;-;...;-;-;-;-;-;16038;-;131;-;2244;...;162;...;120
Arroio do Sal (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Arroio do Padre (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Arroio dos Ratos (RS);-;-;...;98;-;-;-;28;516;-;-;-;300;38;...;...;-;-;...;...;-;-;-;-;...;9;-;-;-;-;...;...;...;-;688;-;-;...;...;...;-;39;-;-;-;-;-;-;696;-;...;-;1134;183;3850;-;...;-;-;-;-;-;831;-;-;-;368;...;-;...;-
Arroio do Tigre (RS);-;-;...;-;-;-;47;-;68;-;-;-;1043;900;...;...;-;-;...;...;-;38;-;8;...;121;-;-;-;-;...;...;...;-;2856;16;41187;...;...;...;-;55;2;-;8;-;-;-;4059;-;...;-;30;7;1286;-;...;18;17;-;-;-;20790;-;7;-;7840;...;-;...;149
Arroio Grande (RS);-;-;...;-;-;-;-;5;77344;-;-;-;168;298;...;...;-;-;...;...;-;-;-;-;...;30;-;-;-;-;...;...;...;-;147;-;-;...;...;...;-;276;5;-;1;-;-;-;-;-;...;1;15;2;2732;-;...;10;26;-;-;-;20160;494;65;151;3789;...;-;...;2
Arvorezinha (RS);-;-;...;-;-;-;43;9;43;8;-;-;151;71;...;...;-;-;...;...;-;8;4;71;...;-;2;29;-;-;...;...;...;0;803;2;2136;...;...;...;-;108;-;-;4;-;2;-;683;-;...;4;11;-;12055;39;...;-;14;-;-;-;2640;-;33;-;2116;...;98;...;261
Augusto Pestana (RS);38;-;...;25;-;-;90;101;82;22;-;8;560;558;...;...;-;-;...;...;-;75;-;17;...;20;-;12;-;-;...;...;...;-;232;12;-;...;...;...;-;627;18;63;17;-;-;-;2388;-;...;5;11;2;1740;-;...;4;7;-;-;-;39204;192;54;-;26460;...;-;...;480
Áurea (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Bagé (RS);-;-;...;-;-;-;147;9;7788;2376;63;-;30;336;...;...;-;-;...;...;-;-;-;17;...;403;-;-;-;-;...;...;...;-;1600;34;-;...;...;...;-;573;25;-;12;-;-;-;-;-;...;30;150;45;3196;-;...;19;143;-;-;-;4868;12009;53;345;14280;...;-;...;1120
Balneário Pinhal (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Barão (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Barão de Cotegipe (RS);-;-;...;72;-;-;161;47;527;28;-;45;365;762;...;...;-;-;...;...;-;168;24;9;...;61;-;22;-;-;...;...;...;-;1361;6;132;...;...;...;-;255;2;-;4;-;-;-;5995;-;...;29;91;28;12621;9;...;29;124;-;-;-;4365;-;44;-;1478;...;5;...;1877
Barão do Triunfo (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Barracão (RS);-;-;...;3;-;-;-;-;144;148;-;-;24;92;...;...;-;-;...;...;-;-;-;13;...;48;180;100;-;-;...;...;...;-;676;18;-;...;...;...;-;14;2;-;9;-;-;-;702;-;...;10;-;-;2880;5;...;4;21;-;-;-;1485;-;3;-;4788;...;-;...;100
Barra do Guarita (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Barra do Quaraí (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Barra do Ribeiro (RS);-;-;...;-;-;-;-;-;14976;-;-;5;1080;195;...;...;-;-;...;...;-;-;-;21;...;24;-;-;-;-;...;...;...;-;143;15;94;...;...;...;-;258;13;-;-;-;-;-;168;-;...;20;4;5;891;-;...;68;38;-;-;-;2970;19;56;-;128;...;-;...;28
Barra do Rio Azul (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Barra Funda (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Barros Cassal (RS);-;-;...;-;-;-;-;-;19;8;-;-;20;41;...;...;-;-;...;...;-;-;-;-;...;-;4;5;-;-;...;...;...;-;4080;-;6177;...;...;...;-;87;-;-;-;-;-;-;1400;-;...;-;-;-;5148;-;...;-;-;-;-;-;1920;-;-;-;1092;...;-;...;67
Benjamin Constant do Sul (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Bento Gonçalves (RS);50;-;...;-;-;-;118;79;66;48;6;52;540;327;...;...;-;-;...;...;-;24;-;67;...;520;-;-;-;-;...;...;...;-;609;375;22;...;...;...;-;840;18;-;26;-;54;-;324;-;...;36;-;-;3328;35;...;19;60;-;-;-;2664;-;304;-;1932;...;-;...;40000
Boa Vista das Missões (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Boa Vista do Buricá (RS);60;-;...;540;-;-;18;32;90;6;-;12;250;729;...;...;-;-;...;...;-;45;113;12;...;18;-;-;-;-;...;...;...;-;1032;-;375;...;...;...;-;108;-;-;-;-;1;-;2985;-;...;-;11;3;5670;-;...;11;16;-;-;-;8197;4;92;-;1680;...;-;...;96
Boa Vista do Cadeado (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Boa Vista do Incra (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Boa Vista do Sul (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Bom Jesus (RS);-;-;...;94;-;-;-;16;-;33;-;-;60;176;...;...;-;-;...;...;-;-;-;4;...;9;70;-;-;-;...;...;...;-;300;16;-;...;...;...;-;16;-;-;19;-;-;-;3;-;...;7;-;-;2193;-;...;7;68;-;-;-;114;-;2;-;1246;...;-;...;27
Bom Princípio (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Bom Progresso (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Bom Retiro do Sul (RS);-;-;...;56;-;-;-;26;848;-;-;-;68;47;...;...;-;-;...;...;-;245;-;-;...;19;-;-;-;-;...;...;...;-;652;-;570;...;...;...;-;812;-;-;-;-;-;-;2520;-;...;-;132;-;3808;-;...;-;-;-;-;-;807;-;-;-;363;...;-;...;-
Boqueirão do Leão (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Bossoroca (RS);240;1;...;1417;-;-;14;12;1505;10;-;15;56;30;...;...;-;-;...;...;-;220;25;73;...;13;6;-;-;-;...;...;...;1;2323;4;-;...;...;...;-;287;26;32;4;-;7;-;1058;-;...;3;50;44;8280;-;...;48;24;-;-;-;19890;1260;179;51;34188;...;2;...;66
Bozano (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Braga (RS);-;-;...;30;-;-;6;33;37;-;-;13;60;180;...;...;-;-;...;...;-;13;2;-;...;8;-;-;-;-;...;...;...;-;110;-;-;...;...;...;-;35;1;-;-;-;-;-;182;-;...;-;-;-;2700;-;...;0;14;-;-;-;5702;-;43;-;5600;...;-;...;167
Brochier (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Butiá (RS);-;-;...;-;-;-;-;-;6948;85;2;-;250;103;...;...;-;-;...;...;-;-;-;-;...;13;4;4;-;-;...;...;...;-;1606;-;-;...;...;...;-;77;-;4;-;-;-;-;1681;-;...;-;90;1;1260;-;...;-;-;-;-;-;8078;108;-;-;1658;...;-;...;18
Caçapava do Sul (RS);-;-;...;1485;-;-;36;35;6791;336;-;-;240;720;...;...;-;-;...;...;-;-;-;-;...;52;-;-;-;-;...;...;...;-;6480;70;-;...;...;...;-;806;12;-;13;-;-;-;357;-;...;25;60;8;2106;-;...;15;41;-;-;-;6955;1000;180;-;3430;...;-;...;626
Cacequi (RS);-;-;...;-;-;-;-;-;23407;-;-;-;471;1394;...;...;-;-;...;...;-;-;-;-;...;80;-;-;-;-;...;...;...;-;1224;-;-;...;...;...;-;96;81;-;-;-;-;-;497;-;...;-;10;-;350;-;...;13;372;-;-;-;8910;1296;334;-;2926;...;-;...;42
Cachoeira do Sul (RS);103;-;...;-;-;-;105;74;78650;-;-;33;832;840;...;...;-;-;...;...;-;-;425;33;...;176;-;-;-;-;...;...;...;-;806;-;3988;...;...;...;-;746;81;-;80;-;-;-;5970;-;...;-;179;52;4824;-;...;164;159;-;-;-;49183;672;164;30;25200;...;-;...;284
Cachoeirinha (RS);22;-;...;-;-;-;-;-;219;-;-;-;67;-;...;...;-;-;...;...;-;-;-;9;...;0;-;-;-;-;...;...;...;-;-;-;-;...;...;...;-;46;7;-;16;-;-;-;42;-;...;-;39;6;-;-;...;11;-;-;-;-;29;-;-;-;-;...;-;...;21
Cacique Doble (RS);-;-;...;6;-;-;-;-;80;39;-;-;85;140;...;...;-;-;...;...;-;-;-;9;...;76;36;60;-;-;...;...;...;-;378;7;-;...;...;...;-;32;3;-;9;-;-;-;560;-;...;6;-;-;3600;5;...;2;24;-;-;-;990;-;11;-;1396;...;-;...;99
Caibaté (RS);252;6;...;2025;-;-;28;13;702;11;-;76;64;40;...;...;-;-;...;...;-;226;90;80;...;11;4;-;-;-;...;...;...;-;4184;9;-;...;...;...;-;263;50;20;13;-;6;-;4298;-;...;5;39;30;9315;-;...;52;45;-;-;-;12870;540;96;53;17500;...;5;...;115
Caiçara (RS);28;-;...;9;-;-;-;8;34;-;-;510;150;172;...;...;-;-;...;...;-;29;126;15;...;36;-;-;-;-;...;...;...;-;4326;-;698;...;...;...;-;500;4;-;-;-;122;-;825;-;...;1;60;-;2700;-;...;39;42;-;-;-;4900;-;1245;-;2520;...;-;...;633
Camaquã (RS);11;-;...;1176;-;-;450;31;85800;36;-;10;4800;3870;...;...;-;-;...;...;-;196;-;54;...;315;-;-;-;-;...;...;...;-;3948;75;17832;...;...;...;-;1122;33;-;-;-;-;-;845;-;...;2;96;50;19800;-;...;25;18;-;-;-;49896;633;680;64;943;...;-;...;102
Camargo (RS);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
